id	tweet	lbl
15001	@USER Everyone in Washington including John Heinz is being uncovered as the corrupt elites they are...Like cockroaches running from the light.	OTH
22662	@USER Get away from these lying toxic people!	GRP
71929	@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.	IND
98517	@USER #AskAlly Please tell me something what should i do to help my mom when she is at home with a broken leg cause she's in Hospital now with a broken leg 😭😭😭😭	OTH
90150	@USER Boycotting NFL for the rest of my life.	OTH
1161898804477669376	The government behind this shit	OTH
15635	@USER Wow you are actually terrible. Imagine being proud of getting people in a disaster zone finding water arrested.   The store owner didn't want them arrested and you are an awful person.	IND
35430	@USER @USER Is he?  Does he know this?  You sure he's not out golfing??  Or maybe tweeting like a lunatic.  I bet he is planning his next #MAGADingDong rally.  He was never President.  You are just to brainwashed to realize that.	IND
50597	@USER @USER We don’t support gun control in Texas.  So long Beto!	OTH
35524	Was this a threat from @USER #DangerousDemocrats #maga URL	OTH
1188219932737228800	I'm going to the police station Monday....I'm tired of these stupid games	OTH
15375	@USER fucking s league football HAHAHAH URL	IND
29462	@USER It doesn’t go far enough. Jr. You are going to jail....treason....	IND
19907	@USER He has no social graces. That is why he was shunned by NY proper everyone knows he's white trash with a little money.   He does not know how to act and makes everything about him. Always. He is just a Me ME Me  POS that is an embarrassment to the USA.	IND
12842	@USER @USER Doubling down was absolutely stupid. You never double down on a pair of eights!	IND
19521	Is anyone surprised that a President who would commit treason with Russia to get elected would pick a rapist for the Supreme Court?#MondayMotivation #Deplorables #MAGA #MarinesagainstTrump #KavaNO #BlueWave2018 #PostponeTheVote #Kavanaugh #StopKavanaugh	IND
68698	\\\"@USER @USER @USER This is fun, I asked him for proof and he blocked me. I was about to joke about how he'd go from The Antifa are the real Nazis!\\\"\\\" to similar alt-shite talking points, boy that sure was providing proof quickly.\\\"\\\"\\\"	GRP
16882	@USER Fake news he is a liberal dem.	OTH
88903	@USER He is going to destroy america like he has done to many of his businesses he does care about middle or lesser america and americans he only cares for himself and the top 1% who hopefully see the light soon before they have no countries to sell their products to	GRP
31240	@USER Judge Roy Moore will masterbate to this story.  #MAGA	IND
81266	@USER @USER She thought she would be low profile and help the Dem party get rid of Kavanaugh and she could remain anonymous. She most likely was promised this by the party. Now that she can be charged with perjury she will continue with playing a victim. She is not. Lying is a can of worms.	IND
44514	@USER A hypocritical stance.	IND
43851	@USER @USER @USER please get OFF first take! You yell wayy too much and you seem like you are being a asshole. When you are on set I litterly can't hear anything but screaming. Its obvious @USER dont like you and @USER and @USER was like dude stfu!!	IND
66578	@USER @USER Yup! She will destroy hard working ppl and small businesses. She is evil with a pretty face and ppl are falling for it.	IND
1155750048044597248	@USER @USER California is the Shit Hole of America.	OTH
39256	\\\"@USER The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled\\\"\\\".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂\\\"\\\"\\\"	GRP
61158	@USER @USER But to go all antifa on ppl like friggen Milo? I don't buy that conservatives who like medicare don blackout and then going millennials for antifa protests.	OTH
52370	@USER - both don’t support Medicare for all  - both voted against the dreamers  - both voted for the racist police brutality bill  - both voted to give Donald trump and even larger military budget .  - both didn’t do a thing on gun control  - both voted for the racist payday loans bill	GRP
24516	@USER @USER Just like gun control will not keep guns from the hands of criminals....	IND
84280	\\\"@USER @USER Democrats want more Gun Control!  I say,   Just go to the range and practice,..  you'll get better \\\"\\\" URL\\\"	GRP
95338	@USER Sometimes I get strong vibes from people and this man’s vibe is tens of millions of murders - he is more dangerous than DT.	IND
90040	@USER @USER I love @USER !! @USER stop your racist censorship now!!	OTH
39309	@USER Andrea Mitchell. Another political hack embedded in the news media. Listen to the tone of that interview.  She is looking for a gotcha moment instead of commending the guy for the work that he is doing. At every turn he shoots her down and it kills her.	IND
12532	@USER Carter was the worst one term President until h was passed for that title by Oba our first Black Racist President!  Kinda like  a Black Jefferson Davis!	IND
1159562875133988865	@USER If they're constantly being recorded it's probably because the police aren't far from being called if shit goes on.	OTH
