id	tweet	lbl
1172	@USER Muslim women who so raping Mr. else, so the suits chasing us Mr. leave them quiet their men.	OFF
4078	Katia is trying to convince that is not elephant #GynaikaXwrisOnoma	NOT
135	Well why you say that, you are young after 39 were born? Yes, but on February 29, and 'I have a birthday every four years so?	NOT
9056	With faces we started ...... #Kokkinopotami	NOT
5344	#gntmgr Katia how sweet, vomiting	NOT
4007	Women need more sleep because they have more complex brain	NOT
7760	@USER And the assholes that justify the cop also	OFF
6432	@USER And men and women if they want to DO in .....	NOT
4593	@USER You're the only right here! Others refer you make your attack. The fascists Chrysafgites	NOT
3389	@USER That this was very much later but the Greek kingdom of Macedon you know? Also it is not broke do not want the nation want ... else if you are not Greek.	NOT
9046	@USER This is strictly forbidden at home to play again. Valantosan my daughters and my wife. I of course as hard little man held back. So I took the dogs and ride ... when nobody was looking ...... it was great to ride ...	NOT
7287	When you have to put the drone #gntmgr	NOT
1565	@USER'm leaving immigrants in a country with King, all waiting to die from cancer, turn around Alexaro vote. Again victory of the left.	OFF
401	If you are undecided, the following video can give you the motivation you need to choose. #nd_xeftiles	NOT
7258	The #gntmgr keeps three months just to not show the belly if gkastrothei some girl.	OFF
3055	You @USER star Katerina VRE. And besides doll terrible athlete and feared man. Always and only wish successes.	NOT
3251	I am delighted that the Greek people have generously supported the Mitsotakis family woes that faced with a serious financial position begging to date on the steps of the church. Well done the # # Ekloges_2019 ND_xeftiles	NOT
2115	# ND_xeftiles the definition of the objective of # SKY xeftiles journalist	NOT
380	@USER not even protest vote. They could see channels, newspapers, priests, four years to tell Alexis the liar, the go all the show, not seeing, not listening SYRIZA around them, they tell both assholes are not talking back, which will force all these	OFF
9013	Say song from the 3 and 4 as if they had aware then that singing #TheVoiceGR	NOT
770	@USER Generally women potential Mr. beautifully even if Mr themselves belonging to this category do not now dechontai.vgazoun kakia.k supporting end ntamla do because it is the rival of kat.an say the ntamla gouged with photo Dan Clark	OFF
1474	The hobbits stained elsewhere has not predicted the #shoppingstar production	NOT
