id	tweet_ar	tweet_en	lbl
1	الحمدلله يارب فوز مهم يا زمالك.. كل الدعم ليكم يا رجالة ⚪🔴<LF>الدوري يا زمالك .. الدوري يا زمالك<LF>#صدارة_بس	Praise be to Allah, Lord, my important win Zamalek .. all the support to complement you, his men ⚪🔴 <LF> League Zamalek O .. Hey League Zamalek <LF> # Saddarh_bs	NOT
2	فدوه يا بخت فدوه يا زمن واحد منكم يجيبه	Vdoh O Bakht Vdoh O one time you Giebh	NOT
3	RT @USER: يا رب يا واحد يا أحد بحق يوم الاحد ان تهلك بني سعود المجرمين. لاجل اطفال اليمن شاركوا.	RT @USER: O Lord, O one, O one right on Sunday to destroy the sons of Saud criminals. For the children of Yemen participated.	OFF
4	RT @USER: #هوا_الحرية يا وجع قلبي عليكي يا امي...<LF>الله لا يحرق قلبك ويكسر بخاطرك للمرة الف نقف إجلال لعظمة وقدرة لين قلب الأم ال…	RT @USER: # Hoa_aharih Oh my heart ache Aliki, my mother ... <LF> God does not burn your heart and break your mind for a thousand times stand tribute to the greatness and the ability of the heart of the mother of Lin ...	NOT
5	يا بكون بحياتك الأهم يا إما ما بدي أكون 🎼	Oh, my most important fact that your life is either what I want I 🎼	NOT
6	@USER اخخ يا قلببي يا هالحلقه 😩😭♥️ متعه على بكاء على حماس كل المشاعر داخله ببعض	@USER Akhkh O Qlbouap O Hahalgah 😩😭 ♥ ️ fun to cry on Hamas all the feelings inside some	NOT
7	والله الزول السوداني أثبت أنه سابق بالتحضّر عن كل العرب:<LF>٤٠٪ التمثيل النسائي في المجلس التشريعي السوداني ما بعد الثورة. <LF>الكلام إلك يا جارة لتسمعي يا كنّة!<LF>#السودان #سوريا #الجزائر	God Sudanese Zul proved to be a former urbanizing all Arabs: <LF> 40% female representation in the Legislative Council after the Sudanese revolution. <LF> speak to a neighbor ULC Oh I hear my accent! <LF> Sudan # # # Syria Algeria	NOT
8	RT @USER: جالس أسمع أحمد قاسم يغني: \"أحبك من كل قلبي يا بلادي يا يمن\". حتى أنا والله أحب اليمن من كل قلبي أحب بلادي من طرفها لطرفها \"ب…	RT @USER: sitting I hear Ahmed Qassem sings: \ "I love you all my heart Oh my Yemen \". So I love God and Yemen all my heart I love my country from its tip to tip \ "b ...	NOT
9	في قلبي يا مغلاك<LF>وبعيني يا محلاك ..	In my heart, my Mglak <LF> and with my own eyes, my Mahlak ..	NOT
10	يا التاج ع الراس يا السادة<LF>يا مالك الروح وراعيها❤️	O crown head O p Gentlemen <LF> O owner of the Spirit and Raiha❤️	NOT
11	RT @USER: @USER البراب عندى بيقولى بيخيروك يا كرتونة يا خمسين جنيه واستأذن يروح ياخد كرتونة 😁	RT @USER: @USER Albrb have Bicoly Bajerk O cartons O fifty pounds and reinitiated calls them Eachd cartons 😁	NOT
12	أموتُ شوقاً ولا ألقاكُمُ أبداً .. يا حسرتا ثمّ يا شوقا و يا أسَفا	I die longing never meet you .. O Hsarta then, O my longing and regret	NOT
13	@USER @USER @USER يا لطيف.. يا ساتر ..أحمدوا ربكم إنها مستقعدة🌚كيف لو إنها واقفه👌	@USER @USER @USER O nice .. O cover ..oamedoa your Lord, it Mstqadh🌚kev if she and Aagafh👌	OFF
14	@USER يا مريوووم كل سنة و انتي طيبة يا قلبي و يا رب دايما مبسوطة كدا و عقبال العمر كله يا قمر لاڤ يو ♥️♥️♥️♥️	@USER O Mraowom every year and Ante good, O my heart, O Lord, and always joyous CDDA and my whole life Wishing the moon Laڤ yo ♥ ️ ♥ ️ ♥ ️ ♥ ️	NOT
15	هلا يا حبي الاول<LF>هلا يا غايتي مشتااااااق	Hala my love First <LF> Hala O my purpose Msteaaaaaq	NOT
16	RT @USER: يا ماجد مساعد يا نائب يا رجال <LF>ما يجي مثل شرواك ايْت اشكُوك<LF>حتى لو قالو تضخمت عندك الأموال<LF>انت ملكت من الطيب حزمة صكوك<LF>@USER…	RT @USER: O Majid O Assistant Vice O Men <LF> What Legge like Hruak White Ahkuk <LF>, even if you have money ballooned tnd <LF> You are possessed of good package instruments <LF> @ USER ...	NOT
17	RT @USER: يا زول يا رائع ومهموم<LF>يا مضيع ضي عينيك وراك<LF>واقف حاحاي النوم<LF>يا مستف رئة الدنيا شهيق<LF>ومشحتف روح الخرطوم<LF>#اعتصام_القياده_ا…	RT @USER: O Zeul O wonderful solicitous <LF> O consuming your eyes and Rak Doanh <LF> Standing Hahaa sleep <LF> O minimum Mstv lung inhalation <LF> and Mahtv spirit of Khartoum <LF> # Aatsam_alkiedh_a ...	NOT
18	في وجودك ليه انا اكمل كلامي اعشقك من الفرح لين العنا .. اشبهك في كل شي الا الاسامي يا انا يا انت يا انت انا ♥️♥️🎻	In you are Les I completed my joy Lin adore Anna .. Ashbhec in everything, but I am, O, O List Domains thou, O thou I ♥ ️ ♥ ️🎻	NOT
19	RT @USER: #صباح_الثلاثاء<LF>حبيبي يا ساحر البسمة يا أهلي <LF>سلطان الهيبة .<LF>فلتسمع صدق اقوالي<LF>همس كلما تي <LF>انت ملك الأندية <LF>انت سيد الأندية <LF>و…	RT @USER: # Bbah_althelathae <LF> Habibi Ya enchanting smile, O my family <LF> Sultan prestige. <LF> Feltsama sincerity of my words <LF> whispered whenever T <LF> You are the king of clubs <LF> You are the master clubs <LF> and ...	NOT
20	أبي يا نعمتي الراحله و يا أطهر قلب ذهب بلا عودة لقد تركت فراغ بقلبي لا يسّده أحد، رحم الله روحاً هزّني الحنين إليها اللهم ارحم أغلى ما فقدت.	Dad, O and O my grace late heart of the purest gold no return has left a vacuum in my heart not Asdh one, God bless the spirit Hzna longing to God have mercy on the most precious thing lost.	NOT
21	يالليله يا كئيبه يا حزينه يا ثقيله عديييييي .	Aallilh O, O depressing sad O Heavy Aadiaaeye.	NOT
22	RT @USER: #الاتحاد_النصر<LF>يا اتهاد يا اتهاد يا اتهاد ياتهاد <LF>باكلك هبه هبه باكلك اكل البرشومي<LF>😂😂😂😂😂	RT @USER: # Alathad_nasr <LF> O Adthad O Adthad O Adthad Yatead <LF> Bachlk Heba Heba Bachlk Eating Alberhom <LF> 😂😂😂😂😂	NOT
23	@USER <LF>فين GoT يا حرامية يا نصابين يا لصوص!؟	@USER <LF> Fein GoT O thieves, O swindlers O thieves !?	OFF
24	RT @USER: يا ليتكم يا اهل الوفا ما تموتون <LF>و لا الردي حتى .. المنايا تعافه	RT @USER: O my people Atkm Wafa What will ye die, <LF> and do not even evil .. Almnaya repulsive	NOT
25	RT @USER: @USER | 5 - 21 <LF>شهرج ياشعاع الضوّ في ظلماي يا آخر طريقي ياحقيقي في زمن كذاب يا أجمل فرج // يا أكبر الأبواب في تاريخ ضيقي❤️	RT @USER: @USER | 5 - 21 <LF> Chehrj Achaaa Daou in my last Zlmaa my way Aahakiqi at the time of the most beautiful liar, O Faraj // O larger doors in the history of Diqi❤️	NOT
26	يا عمرررررررري يا بو شعر ثاير 😭😭😭😭💛💛💛💛	Oh Amrrrrrrrra Oh Bo hair Thayer 😭😭😭😭💛💛💛💛	NOT
27	RT @USER: هي مش هتلحق تكمل باقي طلباتها عشان هتكون يا في المستشفي يا اما بتتغسل علشان حتي كلمه طالق مش هتسمعها من شدة الغضب URL	RT @USER: Mesh is Htlhak complement the rest of their requests Ashan Htkon O, O in the hospital either Btaatgsl Ahan even a word divorce mesh Htsamaha of the severity of the anger URL	NOT
28	RT @USER: يا دان يا بليزريان عيييب كدا رااعي شعورنا 😂😂😂😂💔 URL	RT @USER: O Dan O Blazrian Aayib CDDA Raai sense 😂😂😂😂💔 URL	NOT
29	اللهم صفي قلوبنا واغسل ذنوبنا واستر عيوبنا وزكي نفوسنا <LF>اللهم اجعلنا ممن طاب ذكرهم وحسنت سيرتهم واستمر أجرهم في حياتهم وبعد موتهم<LF>اللهم يا ودود يا ودود أسألك لي ولاحبتي لذة السجود ودعاء غير مردود وفرج ورحمة منك يامعبود وابعد عني وعنهم البلاء 💕	Oh my class hearts and wash our sins and Esther faults and Zaki our souls <LF> Oh God, make us who merry mentioned and improve their careers and continued their reward in their lives and after their death <LF> O God, O loving, O Dodd ask me and my dear ones the thrill of prostration and prayer is retorted, Faraj and mercy from you Aamabboud and away from me and their affliction 💕	NOT
30	RT @USER: @USER @USER صباح الورد يا بن العم يا مرحبا بالغالي🌹	RT @USER: @USER @USER morning rose, O son of Uncle Oh hello Balgala🌹	NOT
31	يا البعيد اللي هناك، يا القريب اللي هنيّا💕	O who run there, oh near Elly Hennea💕	NOT
