id	tweet	lbl
51509	@USER Your husband is a despicable person.  He is a narcissist who cares about no one - including you- but himself.	IND
61091	@USER @USER And what do you think Ron desantis is going to do for you? He's probably in the back pocket of the NRA!! Good luck getting anything done as far as gun control because that is what we'r seriously need as a country! We need tougher background checks at least!!	IND
94663	@USER @USER What a waste of one’s short life.🤷🏻‍♂️🇺🇸	IND
94161	@USER @USER @USER @USER  how does helpmto buy help the homeless??  Oh. It doesn’t does it? How does it help@USER on low income??? Oh it doesn’t in Work poverty at an all time high. How does it help them?? Oh it doesn’t. Thanks for nothing	IND
90426	@USER @USER She is the daughter of her parents.  All illogical hypocrites.	IND
18381	\\\"@USER A little note for @USER -the Bible ( have you ever read that?) says that if the Holy Spirit is in us that we can fight off the devil. You lie and claim that you are holy (no human is holy by the way) so how dare you blame the devil? Your new name is Pope False Prophet\\\"\\\".\\\"\\\"\\\"	IND
27269	@USER @USER I believe that Melania Trump is an abused woman maybe not physically but definitely mentally by an abuser husband and she is afraid to speak out against her abuser.	IND
83279	@USER you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt	IND
81502	@USER By acting like a spoiled brat?  Women do not need that sort of help.	IND
47549	@USER The truth for the gun control/anti-2A URL	IND
63591	@USER @USER He is treason. He went to Iran for what?  To beg Iran to give them(the treasons) more time to get the power back so they can keep giving tax payers $$ to Iran the terrorists leader.	IND
16645	@USER Sounds like hot lesbian sex to me.	IND
15130	@USER @USER Fuck those terrorists in the ass!	IND
26748	@USER He's a liar	IND
34690	@USER You voted to trigger Article 50. You are complicit.	IND
60315	@USER @USER You are a disgrace	IND
86757	\\\"@USER Yes they are stupid, everyone knows that he is a bachelor\\\"\\\"\\\"\\\"\\\"	IND
38143	@USER Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!	IND
62224	A Divided Self or “My Name is Legion”  Demon possession overall is marked by a loss of freedom.  The Gadarenes are Us URL  #ergnews #antinazigr #antifagr #antifa #Stopthehate #GoldenDawn #GDtrial #JesusChrist #JesusSaves #JesusIsLord #JesusIsGod #prayers #hope URL	IND
58759	@USER @USER @USER There has to be a way where conservatives who look the other way and approve oF sexual assault and victim shame to endorse their political agenda and hatred are held accountable. Why don’t you sign your name so you can be held accountable for your lies	IND
19514	Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL	IND
30254	@USER Just another reason she is vile	IND
80183	A cute girl that I've had a crush on since earlier this year just called me funny and I want to throw up	IND
16162	@USER If you want to #MAGA:  1. Stop Intellectual Property theft by China. 2. Pivot away from China and give business to other Asia countries. 3. Ask US business to move to other countries 4. Tax reciprocally 5. Make Xi look weak!  Demolish South China Sea. Xi is a crook!  @USER	IND
93933	@USER So we should believe this from 40 years ago when the man went to an all boys school. This was a way to try and stop the confirmation and blew up in @USER face. She is a corrupt pos!!!	IND
20253	@USER you are a sorry excuse of a rep - I hope that your district votes accordingly-you need to go!  Your nose is so brown it will never be clean! URL	IND
93778	@USER You are an absolute dick 😡	IND
58632	100 Round Goon Bitch Is You Kiddin Me🤣	IND
20384	@USER EVERY TIME! i hate it its the most horrifying feeling. it happens to me when im dozing off. then i jolt wide the fuck awake -_-	IND
36427	@USER @USER @USER @USER Also Jaclyn is either crazy stupid or she is straight up lying to people about the Morphe return policy. That is also deceptive and predatory	IND
26792	@USER Why you ruin shit lol	IND
66981	@USER @USER @USER you are disgusting and need to be ousted. Get out of politics because Schumer you are the corrupt kind of politicians Americans are so tired of. @USER has led this country to thrive again and Brett Kavanaugh will be voted in. Americans stand with @USER	IND
17595	@USER @USER @USER No. She is a liar.	IND
93258	\\\"@USER .@USER calls you an intellectual prostitute\\\"\\\" because he knows that you are smarter and more intellectual than he.\\\"\\\"\\\"	IND
36326	@USER yeah but xenoblade sucks	IND
54165	@USER It’s like that mother with the spoiled rotten bad as heck kid. She still loves that brat and when bad things happen to him because he is a brat and deserves it-she still sympathizes with her child. Norm should realize when your livelihood depends on....	IND
26402	@USER REST IN PUSSY	IND
63195	@USER @USER Obama done nothing fix the problem while in office?  Now going about telling stories. Trump have being able to restore hope on gun control	IND
53351	#Trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.	IND
15839	@USER It's amazing how low  you liberals will go to suit your political agenda. Don't believe you one bit. Have a good feeling you will pay the price for this . Produce some evidence	IND
61286	@USER And then wana talk shit when you play something they don’t know but the song be fire and end up blowing up then later becomes they song 🤦🏾‍♂️	IND
82746	@USER Colin cowherd is a clown just when you think he's going to make a point he just spews out garbage there is no way you look at both goff and trubisky and say goff has the higher ceiling. Maybe the higher floor but only bc he is in yr 2 of Mcvays offense	IND
34027	@USER @USER No one gives a shit and no one will miss her! Sorry @USER will! URL	IND
77399	@USER @USER LIAR!!! What supporters is she talking about??? I was embarrassed when our last president went on a world apology tour and he even bowed to them like he was their servant!!! URL	IND
48537	@USER Well sure she would lend her support to the lying heifer making the false accusations. She has no more intelligence than the rest of the liberals acting out sombody!	IND
38360	@USER @USER Fuck that a bitch needs to have more class you cant act a ass because someone liked a tweet about you it dont matter who you are! #nyfw is not the place to decide to be about that life and run up and throw shoes. What Cardi Did wasnt the issue WHERE it was done was the issue!	IND
70659	@USER Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.	IND
45819	@USER Another terrorist brought in by obumer!	IND
67049	\\\"#JoeScarborough is a vile excuse for a journalist\\\"\\\". Here he is criticizing #Trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER\\\"	IND
24415	\\\"@USER UNHINGED.\\\"\\\"  No, he's just a fat POS slob who lucked out going against conservatives making tons of money in the process, as an opertunist. A very smart opertiunist who knows how to USE &amp; shovel BS to the liberal left.  It's good business these days &amp; he's EATING it all up.\\\"\\\"\\\"	IND
21220	#ReleaseTheCures #DeclassifyFISA 🇺🇸 #ItsTime #LockThemAllUp #WWG1WGA 🇺🇸 #GreatAwakening @USER #Winning #QAnon #MAGA Why James Comey knows he's going to be indicted — 9/14/18 - YouTube URL	IND
80776	@USER @USER You are lying again! The public doesn't trust you anymore!	IND
43448	\\\"Trumpism\\\"\\\" is going so well you along with all your liberal friends felt the need to try to trash it! People aren't stupid as you suppose. #RedWaveRising  #MAGA &amp; #KAG2018 URL\\\"	IND
14848	@USER because he made guys dumb as SHIT	IND
13088	@USER man I woulda just started hitting the wall with that shit.  It ain't nothing by dry wall and some wood beams.  I'm getting through that door if I'm him.	IND
57980	@USER @USER I just saw a video that you are corrupting our government and from the evidence i just saw you are going to jail!!!! #MAGA #TheGreatAwakening #QAnon #YouAreGoingToJail #YouHaveBeenExposed  URL	IND
33566	@USER @USER Bro I randomly tried this dns shit and it worked first time wtf	IND
32653	@USER @USER @USER Fuck yes ride it baby!	IND
35902	@USER @USER You realize how useless your argument is? If you drunk drive you get arrested. You're punished. If you kill someone while drunk driving that is murder. There are rules AND regulations AND safety precautions for both drinking AND owning and operating a vehicle. We need gun control	IND
23227	@USER Don’t watch moron movies	IND
67841	#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?	IND
33983	(Albert)  Conservatives are spreading the lie Anderson Cooper faked a hurricane... URL	IND
46033	@USER I AM SO WEAK SHE REALLY BEAT HER ASS	IND
14271	@USER What death threats? Antifa is not sitting outside her house like they have with Republicans. Why did she scrub all her social media?	IND
66185	@USER I hope it was. Fucken dinosaur thought he Steinbrenner 😂😂	IND
49277	@USER @USER She's tragic because she is an idiot and because she had tremendous internalized misogyny.   I think of the moment we are in the grips of as the Tyranny of the Half-idiot.	IND
14992	@USER You would. Can't fix stupid.  #MAGA #QAnon #ThursdayThoughts #DrainTheDeepState #ThankfulThursday #WWG1WGA #WalkAway	IND
12748	.@USER .@USER .@USER .@USER #HypocrisyMuch? .@USER .@USER .@USER that's why you are an enemy to the people #FakeNews go against political opponents and hide crimes from #Liberals #BigStuff! URL	IND
86223	\\\"@USER I hate a man who thinks his irrelevant opinion matters\\\"\\\" ass bitch URL\\\"	IND
