id	tweet	lbl
89043	-You would never guess that this employee plays Covet (a fashion game) on her iPad in her free time. 📱 -She has a strange phobia of dogs.🐕 -She is amazingly weird! She can jump over her foot while it is in... URL	IND
34204	@USER @USER your disrespect for those that make real sacrifices to defend our freedom is appalling.  @USER is a punk.	IND
1159748717139910656	@USER but it was 20x better than this shit...	OTH
52776	@USER Fake Queen!	IND
10303	@USER He is so lame outside the cage. Killer in the cage	IND
34263	#StopKavanaugh he is liar like the rest of the #GOP URL	IND
30076	@USER @USER Time will tell. Not the type to jump on the lefty bandwagon and demonize someone until they have had a fair chance. His policies will either be a huge failure like the liberals and result in losing the next election or they will be a success and ontario will dig out of the hole	IND
95412	\\\"@USER @USER The reaction from some conservatives was swift and appealed directly to male fears and male interests.\\\"\\\"- if men, after 50 years., can come forward about priests' sexual assault ,why can't women,especially if the person accused is going to be SC JUDGE &amp; stay on forever\\\"\\\"\\\"	GRP
23227	@USER Don’t watch moron movies	IND
20238	@USER he probably gets paid to say that...with $$ and assurances that he won't be called an islamophobe---pfffft it's a fake word--justin is an IDIOT and he is destroying canada one refugee at a time	IND
1160279274588446721	@USER @USER Nobody was going to watch this crap.	OTH
69673	@USER He is nuts who would have ever imagined that the US would have concentration camps......he is the devil	IND
92670	@USER @USER He is seething!! You can see it in his eyes and hear it in his voice!! Obama was a failed president in every sense of the word! #MAGA #KAG 🚂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸	IND
20235	@USER @USER She’ll have a total mental breakdown when he is re-elected!!!!	IND
44023	@USER Unless he is like that old skin bag Cher.  She just coming back and coming back. #stretchedface	IND
70566	@USER Liberals with their lies again.	GRP
17258	\\\"@USER If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards\\\"\\\"?\\\"\\\"\\\"	GRP
62169	@USER Oppression... We need to start a movement.   Could be worse they could be Antifa dogs :)	GRP
28829	#qanon LIBERALS ARE LIKE MONKEYS THROWING THEIR OWN SHIT AT EVERYTHING	GRP
61295	And these entertainment agencies just gonna have to be an ass about it. URL	OTH
34434	@USER @USER False.  Your intrusion on the constitutional rights of honest Americans did NOTHING to curb violent crime.  Gun control = violence against the law-abiding citizen.	OTH
1157189469356691457	I hate calling the women bitches, but the bitches love it	GRP
40131	@USER @USER Bloodsport who can forget the monologue by jackson describing this big monster. and to think he is in his 60's now	IND
29814	@USER Northern Ireland was explicitly designed so the British establishment could stop paying attention to Ireland. They’ve been indifferent since 1921.	OTH
90457	@USER @USER Pm is looking like the extra in the Tory version of SAW 2018 who suddenly realised that she must cut off her own limbs to survive.If she escapes that particular nightmare she is still a politically deceased PM. It's impossible to appease MUKGA Tories that don't want a compromise URL	IND
86595	\\\"@USER @USER @USER @USER @USER @USER Matthew - you are a Lefty genius.  Go live in Syria, Assad is a much nicer\\\"\\\" guy than Trump.  U will like it there. 🤣Lots of \\\"\\\"human rights\\\"\\\" no racism, no sexism.  Tell us how u get on. 🤣💩💩😆  @USER\\\"	IND
49763	\\\"@USER Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.\\\"\\\" URL\\\"	IND
54898	@USER Rep Maxine Waters has been threatening violence on you the President and vise President. How come she is permitted to do this. Is the DOJ and Washington capital Police sleeping?? Why are all democrats above the law? This is a crime! URL	GRP
75168	@USER @USER Good Arrest them all!  Arrest the crazy NDP leader @USER as well.  She is Having her lil minions take a fall for her! She planned this! Will she be paying their Legal fees? I think not! The immaturity level of this goverment party is disgusting!!!	IND
99193	@USER Why doesn’t he leave the country if he is so unhappy with America	IND
37577	@USER @USER can go straight the crapper. I’ll never support another team again.	OTH
24894	@USER @USER @USER Trump is done. You are a Anti-Ameican pro-Trump azz!!	IND
11865	@USER His legacy is crap. Why would anyone want to save crap?	IND
94286	@USER Girl bitches aggravate me!	GRP
61110	@USER @USER Her life is crappy because she is crappy. And she’s threatening to kill everyone. Another nut job...Listen up FBI!	IND
71468	@USER As someone who had never played Spiderman 2 as a kid:  I want and tried it a year or 2 back and idk what kinda collective nostalgia people are on but those web swinging mechanics are busted as fuck and kinda trash.	IND
83457	@USER @USER Wow!!! Never thought I'd see the left actually admitting they want to shut down free speech unless it's their own. At least they are admitting they are the  facist. After all they did create the 2 most facist groups...ANTIFA and KKK.	GRP
48421	@USER @USER @USER You bring up a great point. These morons really look at life like it's the movies. They do it in the gun control debate all the time. They seriously think that a shootout with a bad guy will never hurt bystanders. It's why they want to arm teachers. Idiots!	GRP
31668	@USER @USER Pope Char compares Pope Francis to the false prophet. Bingo! URL	IND
65418	@USER That solved the problem in Chicago alright!!  I wish these “leaders” would think up something different to get attention.   Gun control is getting old.	GRP
1158616590478262272	Like spoiled brats, white men are going out killing masses of people in a temper tantrum.	GRP
14929	@USER @USER ANTIFA displays hate on those they disagree with...you are being hypocritical!	IND
95092	ANTIFA is a domestic terrorist organization that leeches off of George Soros's money. They are a domestic terrorist organization that uses intimidation &amp; violence to spread their ideology.	OTH
1188073367745826816	@USER It sucks	OTH
30611	@USER and @USER you need to find this lady! Do your thing. She is a terrorist waiting to strike. URL	IND
68320	\\\"@USER @USER You say you're part of the resistance so I'm fairly certain you are pro-gun control. My question to you is...Why would you want a government headed by this so called dictator\\\"\\\" to enact stricter gun control? I don't think that's an argument that'll get you very far.\\\"\\\"\\\"	IND
50482	\\\"@USER @USER Look at Sweden, France, UK, Europe is changing. EUROPE WILL BE A MUSLIM CONTINENT BY 2050. Please watch the YouTube video title  MUSLIM DEMOGRAPHICS \\\"\\\" , YOU WILL BE SCARED TO DEATH, unless you are a Muslim or love Islam. Mind u, I'm an African in America.\\\"\\\"\\\"	GRP
51684	@USER @USER Good god woman. Shut up. If you liberals really believed this @USER would have spoke out against this the day she received the letter.	IND
25808	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means I am homophobic	GRP
