Text	Top5%	Emoji_1	Emoji_2	Emoji_3	Emoji_4	Emoji_5	Pct_1	Pct_2	Pct_3	Pct_4	Pct_5
@USER She should ask a few native Americans what their take on this is.	0.273550760001	33	50	53	0	54	0.0760036	0.0756787	0.0432925	0.0395924	0.0389836
@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	0.326091788709	54	33	58	50	53	0.099785	0.0635876	0.0629867	0.060523	0.0392094
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT	0.282497238368	32	55	33	31	54	0.0696921	0.0674373	0.0600239	0.0436444	0.0416996
"\""@USER Someone should'veTaken\""\"" this piece of shit to a volcano. 😂\""\""\"""	0.568040302023	24	16	47	58	38	0.26348	0.157387	0.0857008	0.0327556	0.0287166
@USER @USER Obama wanted liberals &amp; illegals to move into red states	0.318143587559	32	33	55	50	54	0.0893521	0.0669552	0.0553214	0.0536489	0.0528659
@USER Liberals are all Kookoo !!!	0.29293852672	54	55	32	50	53	0.0972739	0.0531729	0.0511261	0.0469463	0.0444193
@USER @USER Oh noes! Tough shit.	0.26944841817	57	58	62	12	28	0.090332	0.0513173	0.0460475	0.0415059	0.0402458
@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	0.342514362186	42	0	51	19	22	0.10798	0.0708844	0.0567978	0.0554476	0.0514047
@USER Buy more icecream!!!	0.373866297305	36	10	53	54	4	0.147317	0.0641698	0.0612196	0.0511522	0.0500076
@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	0.35367096588	33	32	50	58	55	0.0760495	0.0753736	0.0731172	0.0695854	0.0595452
@USER @USER @USER It’s not my fault you support gun control	0.337680909783	42	38	0	50	51	0.116217	0.0729719	0.0538903	0.0518184	0.0427829
@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	0.244560234249	12	32	50	62	54	0.0549134	0.0496562	0.0482407	0.046473	0.0452768
@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	0.649004887789	32	55	37	58	56	0.291525	0.228183	0.0583951	0.0387718	0.0321303
@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!	0.428486313671	54	33	50	53	62	0.112746	0.0950986	0.0923976	0.0844209	0.0438232
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.	0.435249235481	33	63	31	44	13	0.135953	0.0953564	0.0944353	0.0596103	0.0498941
@USER you are also the king of taste	0.341409940273	50	36	33	54	6	0.0963206	0.0846795	0.0580736	0.0548624	0.047474
#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL	0.339368872344	11	48	33	58	59	0.109249	0.093987	0.0566022	0.0467863	0.0327442
"\""5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist\""\""\"""	0.596531942487	57	58	33	50	40	0.320061	0.116622	0.0860543	0.039632	0.0341621
@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂	0.198160402477	50	26	49	53	0	0.0544047	0.0400752	0.0365486	0.0342626	0.0328694
@USER @USER @USER gun control! That is all these kids are asking for!	0.423183657229	42	54	32	55	12	0.23947	0.0468836	0.0467184	0.0466075	0.0435046
@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	0.399836659431	54	55	32	53	33	0.133465	0.0802616	0.0742503	0.0592024	0.0526569
@USER @USER You are correct.	0.391512684524	33	40	50	6	53	0.151123	0.0771371	0.0736108	0.0496946	0.0399469
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	0.328970838338	22	50	41	53	62	0.0989337	0.0633052	0.0608715	0.0540766	0.0517838
@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	0.272877424955	12	32	39	0	55	0.0594332	0.0566709	0.0547641	0.0525397	0.0494695
@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	0.411768060178	50	33	54	53	7	0.129412	0.0813391	0.0776492	0.0772109	0.0461569
@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	0.307345036417	25	22	1	19	20	0.0737767	0.0629455	0.0627747	0.0547989	0.0530491
"\""South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”\""\""  URL #TCOT #MAGA #RedNationRising\""\""\"""	0.593292839825	24	16	47	53	31	0.259439	0.184417	0.0621945	0.0501734	0.0370681
@USER @USER You can tell he is a hooper too	0.36836411804	50	9	41	54	0	0.143102	0.0679645	0.0591169	0.0529171	0.0452636
@USER I feel like he is better chasing the title	0.195998387411	0	20	22	62	26	0.056397	0.0443332	0.0331149	0.0316854	0.0304679
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	0.315745722502	32	55	22	50	54	0.0916079	0.0657364	0.0622215	0.0492766	0.0469033
@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	0.526535406709	33	7	40	58	61	0.238384	0.0874238	0.0740884	0.0675561	0.0590827
@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	0.215125713497	50	54	53	10	49	0.0598969	0.0498587	0.0431804	0.0313291	0.0308607
The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	0.460503026843	32	55	44	22	37	0.174474	0.141097	0.0653361	0.0407513	0.0388443
@USER No wonder he is being apologetic and more social these day....	0.260338574648	12	25	50	22	62	0.0585644	0.055935	0.0528757	0.047145	0.0458185
@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	0.400923229754	32	33	55	50	54	0.117176	0.0945963	0.0770943	0.0589048	0.0531518
